item,itemLabel,coord
http://www.wikidata.org/entity/Q14621,Ufhusen,Point(7.896944444 47.116388888)
http://www.wikidata.org/entity/Q14623,Wauwil,Point(8.016666666 47.183055555)
http://www.wikidata.org/entity/Q14625,Wikon,Point(7.965833333 47.262777777)
http://www.wikidata.org/entity/Q69,Courrendlin,Point(7.366666666 47.333333333)
http://www.wikidata.org/entity/Q71,Genf,Point(6.15 46.2)
http://www.wikidata.org/entity/Q70,Bern,Point(7.44743 46.94798)
http://www.wikidata.org/entity/Q14627,Willisau,Point(7.992777777 47.120555555)
http://www.wikidata.org/entity/Q14628,Zell,Point(7.92628 47.13573)
http://www.wikidata.org/entity/Q15582,Brig,Point(7.966389 46.316389)
http://www.wikidata.org/entity/Q15583,Brig-Glis,Point(7.987619444 46.315916666)
http://www.wikidata.org/entity/Q17834,Rebstein,Point(9.583333333 47.399722222)
http://www.wikidata.org/entity/Q27576,Wettingen,Point(8.32666 47.46586)
http://www.wikidata.org/entity/Q66684,Schmerikon,Point(8.95 47.225277777)
http://www.wikidata.org/entity/Q66686,Hellikon,Point(7.9229 47.5097)
http://www.wikidata.org/entity/Q66688,Bolken,Point(7.663888888 47.192777777)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q58038,Vendlincourt,Point(7.15 47.45)
http://www.wikidata.org/entity/Q58937,Caneggio,Point(9.033333333 45.866666666)
http://www.wikidata.org/entity/Q58938,Campo,Point(8.9375 46.556944444)
http://www.wikidata.org/entity/Q58940,Capolago,Point(8.979497222 45.902816666)
http://www.wikidata.org/entity/Q59097,Cavagnago,Point(8.883333333 46.416666666)
http://www.wikidata.org/entity/Q66678,Uitikon,Point(8.453055555 47.371944444)
http://www.wikidata.org/entity/Q66680,Schnottwil,Point(7.39119 47.10875)
http://www.wikidata.org/entity/Q66682,Etziken,Point(7.648611111 47.188611111)
http://www.wikidata.org/entity/Q36378,Freiburg im Üechtland,Point(7.15 46.8)
http://www.wikidata.org/entity/Q38652,Attalens,Point(6.8489 46.5103)
http://www.wikidata.org/entity/Q78,Basel,Point(7.590555555 47.560555555)
http://www.wikidata.org/entity/Q66930,Farvagny,Point(7.066666666 46.716666666)
http://www.wikidata.org/entity/Q66932,Zuzwil,Point(7.4725 47.051666666)
http://www.wikidata.org/entity/Q66935,La Brillaz,Point(7.0 46.766666666)
http://www.wikidata.org/entity/Q25843,Remaufens,Point(6.866666666 46.516666666)
http://www.wikidata.org/entity/Q27494,Zermatt,Point(7.7461 46.0193)
http://www.wikidata.org/entity/Q57111,Cossonay,Point(6.516666666 46.616666666)
http://www.wikidata.org/entity/Q57115,Crans VD,Point(6.2 46.35)
http://www.wikidata.org/entity/Q57117,Crassier,Point(6.166666666 46.366666666)
http://www.wikidata.org/entity/Q57101,Corcelles-le-Jorat,Point(6.75 46.6)
http://www.wikidata.org/entity/Q57102,Corcelles-près-Concise,Point(6.7 46.833333333)
http://www.wikidata.org/entity/Q57104,Corcelles-près-Payerne,Point(6.966666666 46.833333333)
http://www.wikidata.org/entity/Q57107,Correvon,Point(6.733333333 46.716666666)
http://www.wikidata.org/entity/Q63922,Vernier,Point(6.1 46.2)
http://www.wikidata.org/entity/Q63931,Stans,Point(8.366666666 46.959444444)
http://www.wikidata.org/entity/Q807,Lausanne,Point(6.633333333 46.533333333)
http://www.wikidata.org/entity/Q66716,Bärschwil,Point(7.473611111 47.383333333)
http://www.wikidata.org/entity/Q66718,Leuggern,Point(8.219444444 47.581944444)
http://www.wikidata.org/entity/Q66707,Wangen SZ,Point(8.895555555 47.190833333)
http://www.wikidata.org/entity/Q66711,Basadingen-Schlattingen,Point(8.749722222 47.666666666)
http://www.wikidata.org/entity/Q66714,Niederhelfenschwil,Point(9.183055555 47.483333333)
http://www.wikidata.org/entity/Q66966,Balm bei Günsberg,Point(7.558055555 47.252777777)
http://www.wikidata.org/entity/Q66969,Feldbrunnen-St. Niklaus,Point(7.555555555 47.220833333)
http://www.wikidata.org/entity/Q66971,Lommiswil,Point(7.471111111 47.221666666)
http://www.wikidata.org/entity/Q66938,Champoz,Point(7.3 47.258333333)
http://www.wikidata.org/entity/Q66941,Gurmels,Point(7.166666666 46.9)
http://www.wikidata.org/entity/Q66943,Jens,Point(7.266666666 47.1)
http://www.wikidata.org/entity/Q66945,Alchenstorf,Point(7.643611111 47.123888888)
http://www.wikidata.org/entity/Q18473,Zuchwil,Point(7.559722222 47.205555555)
http://www.wikidata.org/entity/Q24771,La Sonnaz,Point(7.108611 46.833889)
http://www.wikidata.org/entity/Q25333,Alle,Point(7.1291 47.4257)
http://www.wikidata.org/entity/Q66949,Alterswil,Point(7.26376 46.79256)
http://www.wikidata.org/entity/Q66952,Brünisried,Point(7.283333333 46.766666666)
http://www.wikidata.org/entity/Q66958,Oberhelfenschwil,Point(9.1 47.349722222)
http://www.wikidata.org/entity/Q43188,Agiez,Point(6.5 46.716666666)
http://www.wikidata.org/entity/Q43195,Aigle,Point(6.9646 46.3173)
http://www.wikidata.org/entity/Q57121,Crissier,Point(6.583333333 46.55)
http://www.wikidata.org/entity/Q57122,Cronay,Point(6.7 46.75)
http://www.wikidata.org/entity/Q58032,Vermes,Point(7.483333333 47.333333333)
http://www.wikidata.org/entity/Q63946,Yverdon-les-Bains,Point(6.640833333 46.7785)
http://www.wikidata.org/entity/Q63954,Arosa,Point(9.683055555 46.783055555)
http://www.wikidata.org/entity/Q66670,Oberbüren,Point(9.166388888 47.45)
http://www.wikidata.org/entity/Q66672,Breitenbach,Point(7.544444444 47.408333333)
http://www.wikidata.org/entity/Q66675,Riniken,Point(8.1875 47.495555555)
http://www.wikidata.org/entity/Q63912,Glarus,Point(9.066388888 47.033055555)
http://www.wikidata.org/entity/Q66986,Gipf-Oberfrick,Point(8.005555555 47.499722222)
http://www.wikidata.org/entity/Q66988,Günsberg,Point(7.576111111 47.256666666)
http://www.wikidata.org/entity/Q66991,Schinznach-Dorf,Point(8.144444444 47.448333333)
http://www.wikidata.org/entity/Q66993,Brügglen,Point(7.497222222 47.144166666)
http://www.wikidata.org/entity/Q63939,Baden,Point(8.30799 47.47291)
http://www.wikidata.org/entity/Q66980,Boncourt,Point(7.016666666 47.5)
http://www.wikidata.org/entity/Q66982,Hubersdorf,Point(7.590555555 47.243333333)
http://www.wikidata.org/entity/Q66984,Langendorf,Point(7.514444444 47.220555555)
http://www.wikidata.org/entity/Q25607,St. Gallen,Point(9.377222222 47.423333333)
http://www.wikidata.org/entity/Q66973,Riedholz,Point(7.568055555 47.23)
http://www.wikidata.org/entity/Q66975,Küttigkofen,Point(7.516666666 47.1525)
http://www.wikidata.org/entity/Q66977,Trasadingen,Point(8.4262 47.66979)
http://www.wikidata.org/entity/Q66959,Subingen,Point(7.615277777 47.196666666)
http://www.wikidata.org/entity/Q66962,Rothenthurm SZ,Point(8.674444444 47.104166666)
http://www.wikidata.org/entity/Q66964,Freienstein-Teufen,Point(8.584722222 47.532222222)
http://www.wikidata.org/entity/Q57108,Corseaux,Point(6.833333333 46.466666666)
http://www.wikidata.org/entity/Q57110,Corsier-sur-Vevey,Point(6.85 46.466666666)
http://www.wikidata.org/entity/Q29840,Sur,Point(9.616388888 46.516388888)
http://www.wikidata.org/entity/Q30986,Aclens,Point(6.516666666 46.566666666)
http://www.wikidata.org/entity/Q66731,Böckten,Point(7.835555555 47.4625)
http://www.wikidata.org/entity/Q66733,Lausen,Point(7.759722222 47.4725)
http://www.wikidata.org/entity/Q66736,Duggingen,Point(7.6 47.45)
http://www.wikidata.org/entity/Q66692,Toffen,Point(7.49239 46.85884)
http://www.wikidata.org/entity/Q66694,Lohn,Point(9.4276 46.6514)
http://www.wikidata.org/entity/Q66697,Steinhausen,Point(8.486111111 47.196944444)
